station_name,borough,full_name,url
Temple,Westminster,Temple tube station,https://en.wikipedia.org/wiki/Temple_tube_station
Tottenham Court Road,Westminster,Tottenham Court Road station,https://en.wikipedia.org/wiki/Tottenham_Court_Road_station
Victoria,Westminster,Victoria tube station,https://en.wikipedia.org/wiki/Victoria_tube_station
Warwick Avenue,Westminster,Warwick Avenue tube station,https://en.wikipedia.org/wiki/Warwick_Avenue_tube_station
Westbourne Park,Westminster,Westbourne Park tube station,https://en.wikipedia.org/wiki/Westbourne_Park_tube_station
Westminster,Westminster,Westminster tube station,https://en.wikipedia.org/wiki/Westminster_tube_station
Acton Town,Ealing,Acton Town tube station,https://en.wikipedia.org/wiki/Acton_Town_tube_station
Chiswick Park,Ealing,Chiswick Park tube station,https://en.wikipedia.org/wiki/Chiswick_Park_tube_station
Ealing Broadway,Ealing,Ealing Broadway station,https://en.wikipedia.org/wiki/Ealing_Broadway_station
Ealing Common,Ealing,Ealing Common tube station,https://en.wikipedia.org/wiki/Ealing_Common_tube_station
Greenford,Ealing,Greenford station,https://en.wikipedia.org/wiki/Greenford_station
Hanger Lane,Ealing,Hanger Lane tube station,https://en.wikipedia.org/wiki/Hanger_Lane_tube_station
North Acton,Ealing,North Acton tube station,https://en.wikipedia.org/wiki/North_Acton_tube_station
North Ealing,Ealing,North Ealing tube station,https://en.wikipedia.org/wiki/North_Ealing_tube_station
Northfields,Ealing,Northfields tube station,https://en.wikipedia.org/wiki/Northfields_tube_station
Northolt,Ealing,Northolt tube station,https://en.wikipedia.org/wiki/Northolt_tube_station
Park Royal,Ealing,Park Royal tube station,https://en.wikipedia.org/wiki/Park_Royal_tube_station
Perivale,Ealing,Perivale tube station,https://en.wikipedia.org/wiki/Perivale_tube_station
South Ealing,Ealing,South Ealing tube station,https://en.wikipedia.org/wiki/South_Ealing_tube_station
West Acton,Ealing,West Acton tube station,https://en.wikipedia.org/wiki/West_Acton_tube_station
Arnos Grove,Enfield,Arnos Grove tube station,https://en.wikipedia.org/wiki/Arnos_Grove_tube_station
Cockfosters,Enfield,Cockfosters tube station,https://en.wikipedia.org/wiki/Cockfosters_tube_station
Oakwood,Enfield,Oakwood tube station,https://en.wikipedia.org/wiki/Oakwood_tube_station
Southgate,Enfield,Southgate tube station,https://en.wikipedia.org/wiki/Southgate_tube_station
North Greenwich,Greenwich,North Greenwich tube station,https://en.wikipedia.org/wiki/North_Greenwich_tube_station
Manor House,Hackney,Manor House tube station,https://en.wikipedia.org/wiki/Manor_House_tube_station
Barons Court,Hammersmith & Fulham,Barons Court tube station,https://en.wikipedia.org/wiki/Barons_Court_tube_station
East Acton,Hammersmith & Fulham,East Acton tube station,https://en.wikipedia.org/wiki/East_Acton_tube_station
Fulham Broadway,Hammersmith & Fulham,Fulham Broadway tube station,https://en.wikipedia.org/wiki/Fulham_Broadway_tube_station
Goldhawk Road,Hammersmith & Fulham,Goldhawk Road tube station,https://en.wikipedia.org/wiki/Goldhawk_Road_tube_station
The Grove,Hammersmith & Fulham,The Grove tube station,https://en.wikipedia.org/wiki/The_Grove_tube_station
Hammersmith (Circle and Hammersmith & City lines),Hammersmith & Fulham,Hammersmith tube station (Circle and Hammersmith & City lines),https://en.wikipedia.org/wiki/Hammersmith_tube_station_(Circle_and_Hammersmith_%26_City_lines)
Hammersmith (District and Piccadilly lines),Hammersmith & Fulham,Hammersmith tube station (District and Piccadilly lines),https://en.wikipedia.org/wiki/Hammersmith_tube_station_(District_and_Piccadilly_lines)
Paddenswick Road,Hammersmith & Fulham,Paddenswick Road tube station,https://en.wikipedia.org/wiki/Paddenswick_Road_tube_station
Parsons Green,Hammersmith & Fulham,Parsons Green tube station,https://en.wikipedia.org/wiki/Parsons_Green_tube_station
Putney Bridge,Hammersmith & Fulham,Putney Bridge tube station,https://en.wikipedia.org/wiki/Putney_Bridge_tube_station
Ravenscourt Park,Hammersmith & Fulham,Ravenscourt Park tube station,https://en.wikipedia.org/wiki/Ravenscourt_Park_tube_station
Rylett Road,Hammersmith & Fulham,Rylett Road tube station,https://en.wikipedia.org/wiki/Rylett_Road_tube_station
Shepherd's Bush Market,Hammersmith & Fulham,Shepherd's Bush Market tube station,https://en.wikipedia.org/wiki/Shepherd%27s_Bush_Market_tube_station
Shepherd's Bush,Hammersmith & Fulham,Shepherd's Bush tube station,https://en.wikipedia.org/wiki/Shepherd%27s_Bush_tube_station
West Kensington,Hammersmith & Fulham,West Kensington tube station,https://en.wikipedia.org/wiki/West_Kensington_tube_station
White City,Hammersmith & Fulham,White City tube station,https://en.wikipedia.org/wiki/White_City_tube_station
Wood Lane,Hammersmith & Fulham,Wood Lane tube station,https://en.wikipedia.org/wiki/Wood_Lane_tube_station
Bounds Green,Haringey,Bounds Green tube station,https://en.wikipedia.org/wiki/Bounds_Green_tube_station
Highgate,Haringey,Highgate tube station,https://en.wikipedia.org/wiki/Highgate_tube_station
Manor House,Haringey,Manor House tube station,https://en.wikipedia.org/wiki/Manor_House_tube_station
Seven Sisters,Haringey,Seven Sisters station,https://en.wikipedia.org/wiki/Seven_Sisters_station
Tottenham Hale,Haringey,Tottenham Hale station,https://en.wikipedia.org/wiki/Tottenham_Hale_station
Turnpike Lane,Haringey,Turnpike Lane tube station,https://en.wikipedia.org/wiki/Turnpike_Lane_tube_station
Wood Green,Haringey,Wood Green tube station,https://en.wikipedia.org/wiki/Wood_Green_tube_station
Canons Park,Harrow,Canons Park tube station,https://en.wikipedia.org/wiki/Canons_Park_tube_station
