station_name,borough,full_name,borough_standardized
Notting Hill Gate,Kensington & Chelsea,Notting Hill Gate tube station,Kensington & Chelsea
Sloane Square,Kensington & Chelsea,Sloane Square tube station,Kensington & Chelsea
South Kensington,Kensington & Chelsea,South Kensington tube station,Kensington & Chelsea
West Brompton,Kensington & Chelsea,West Brompton station,Kensington & Chelsea
Brixton,Lambeth,Brixton tube station,Lambeth
Clapham Common,Lambeth,Clapham Common tube station,Lambeth
Clapham North,Lambeth,Clapham North tube station,Lambeth
Lambeth North,Lambeth,Lambeth North tube station,Lambeth
Nine Elms,Lambeth,Nine Elms tube station,Lambeth
Oval,Lambeth,Oval tube station,Lambeth
Stockwell,Lambeth,Stockwell tube station,Lambeth
Vauxhall,Lambeth,Vauxhall station,Lambeth
Waterloo,Lambeth,Waterloo tube station,Lambeth
Colliers Wood,Merton,Colliers Wood tube station,Merton
Morden,Merton,Morden tube station,Merton
South Wimbledon,Merton,South Wimbledon tube station,Merton
Wimbledon,Merton,Wimbledon station,Merton
Wimbledon Park,Merton,Wimbledon Park tube station,Merton
Beckton,Newham,Beckton tube station,Newham
Canning Town,Newham,Canning Town station,Newham
East Ham,Newham,East Ham tube station,Newham
Plaistow,Newham,Plaistow tube station,Newham
Stratford,Newham,Stratford station,Newham
Upton Park,Newham,Upton Park tube station,Newham
West Ham,Newham,West Ham station,Newham
Barkingside,Redbridge,Barkingside tube station,Redbridge
Fairlop,Redbridge,Fairlop tube station,Redbridge
Gants Hill,Redbridge,Gants Hill tube station,Redbridge
Hainault,Redbridge,Hainault tube station,Redbridge
Newbury Park,Redbridge,Newbury Park tube station,Redbridge
Redbridge,Redbridge,Redbridge tube station,Redbridge
Snaresbrook,Redbridge,Snaresbrook tube station,Redbridge
South Woodford,Redbridge,South Woodford tube station,Redbridge
Wanstead,Redbridge,Wanstead tube station,Redbridge
Woodford,Redbridge,Woodford tube station,Redbridge
Kew Gardens,Richmond upon Thames,Kew Gardens station (London),Richmond upon Thames
Richmond,Richmond upon Thames,Richmond station (London),Richmond upon Thames
Bermondsey,Southwark,Bermondsey tube station,Southwark
Borough,Southwark,Borough tube station,Southwark
Canada Water,Southwark,Canada Water station,Southwark
Elephant & Castle,Southwark,Elephant & Castle tube station,Southwark
Kennington,Southwark,Kennington tube station,Southwark
London Bridge,Southwark,London Bridge station,Southwark
Southwark,Southwark,Southwark tube station,Southwark
Surrey Docks North,Southwark,Surrey Docks North tube station,Southwark
Aldgate East,Tower Hamlets,Aldgate East tube station,Tower Hamlets
Bethnal Green,Tower Hamlets,Bethnal Green tube station,Tower Hamlets
Bow Road,Tower Hamlets,Bow Road tube station,Tower Hamlets
Bromley-by-Bow,Tower Hamlets,Bromley-by-Bow tube station,Tower Hamlets
Canary Wharf,Tower Hamlets,Canary Wharf tube station,Tower Hamlets
Mile End,Tower Hamlets,Mile End tube station,Tower Hamlets
Millwall,Tower Hamlets,Millwall tube station,Tower Hamlets
St Katharine Docks,Tower Hamlets,St Katharine Docks tube station,Tower Hamlets
Stepney Green,Tower Hamlets,Stepney Green tube station,Tower Hamlets
Tower Hill,Tower Hamlets,Tower Hill tube station,Tower Hamlets
Whitechapel,Tower Hamlets,Whitechapel station,Tower Hamlets
Blackhorse Road,Waltham Forest,Blackhorse Road station,Waltham Forest
Leyton,Waltham Forest,Leyton tube station,Waltham Forest
Leytonstone,Waltham Forest,Leytonstone tube station,Waltham Forest
Walthamstow Central,Waltham Forest,Walthamstow Central station,Waltham Forest
Balham,Wandsworth,Balham station,Wandsworth
Battersea Power,Wandsworth,Battersea Power Station tube station,Wandsworth
Clapham South,Wandsworth,Clapham South tube station,Wandsworth
East Putney,Wandsworth,East Putney tube station,Wandsworth
Southfields,Wandsworth,Southfields tube station,Wandsworth
Tooting Bec,Wandsworth,Tooting Bec tube station,Wandsworth
Tooting Broadway,Wandsworth,Tooting Broadway tube station,Wandsworth
Baker Street,Westminster,Baker Street tube station,Westminster
Bayswater,Westminster,Bayswater tube station,Westminster
Bond Street,Westminster,Bond Street station,Westminster
Charing Cross,Westminster,Charing Cross tube station,Westminster
Covent Garden,Westminster,Covent Garden tube station,Westminster
Edgware Road (Bak),Westminster,Edgware Road tube station (Bakerloo line),Westminster
Edgware Road (Cir),Westminster,"Edgware Road tube station (Circle, District and Hammersmith & City lines)",Westminster
Embankment,Westminster,Embankment tube station,Westminster
Great Portland Street,Westminster,Great Portland Street tube station,Westminster
Green Park,Westminster,Green Park tube station,Westminster
Hyde Park Corner,Westminster,Hyde Park Corner tube station,Westminster
Lancaster Gate,Westminster,Lancaster Gate tube station,Westminster
Leicester Square,Westminster,Leicester Square tube station,Westminster
London Victoria,Westminster,London Victoria station,Westminster
Maida Vale,Westminster,Maida Vale tube station,Westminster
Marble Arch,Westminster,Marble Arch tube station,Westminster
Marylebone,Westminster,Marylebone station,Westminster
Oxford Circus,Westminster,Oxford Circus tube station,Westminster
Paddington,Westminster,"Paddington tube station (Bakerloo, Circle and District lines)",Westminster
Piccadilly Circus,Westminster,Piccadilly Circus tube station,Westminster
Pimlico,Westminster,Pimlico tube station,Westminster
Queensway,Westminster,Queensway tube station,Westminster
Regent's Park,Westminster,Regent's Park tube station,Westminster
Royal Oak,Westminster,Royal Oak tube station,Westminster
St. James's Park,Westminster,St James's Park tube station,Westminster
St. John's Wood,Westminster,St John's Wood tube station,Westminster
Temple,Westminster,Temple tube station,Westminster
Tottenham Court Road,Westminster,Tottenham Court Road station,Westminster
Victoria,Westminster,Victoria tube station,Westminster
Warwick Avenue,Westminster,Warwick Avenue tube station,Westminster
Westbourne Park,Westminster,Westbourne Park tube station,Westminster
Westminster,Westminster,Westminster tube station,Westminster
