station_name,borough,borough_standardized,system,full_name
Hornchurch,Havering,Havering,Tube,Hornchurch tube station
Upminster,Havering,Havering,Tube,Upminster station
Upminster Bridge,Havering,Havering,Tube,Upminster Bridge tube station
Eastcote,Hillingdon,Hillingdon,Tube,Eastcote tube station
Hatton Cross,Hillingdon,Hillingdon,Tube,Hatton Cross tube station
Heathrow Terminal 4,Hillingdon,Hillingdon,Tube,Heathrow Terminal 4 tube station
Heathrow Terminal 5,Hillingdon,Hillingdon,Tube,Heathrow Terminal 5 station
Heathrow Terminals 123,Hillingdon,Hillingdon,Tube,Heathrow Terminals 2 & 3 tube station
Hillingdon,Hillingdon,Hillingdon,Tube,Hillingdon tube station
Ickenham,Hillingdon,Hillingdon,Tube,Ickenham tube station
Northwood,Hillingdon,Hillingdon,Tube,Northwood tube station
Northwood Hills,Hillingdon,Hillingdon,Tube,Northwood Hills tube station
Ruislip,Hillingdon,Hillingdon,Tube,Ruislip tube station
Ruislip Gardens,Hillingdon,Hillingdon,Tube,Ruislip Gardens tube station
Ruislip Manor,Hillingdon,Hillingdon,Tube,Ruislip Manor tube station
South Ruislip,Hillingdon,Hillingdon,Tube,South Ruislip station
Uxbridge,Hillingdon,Hillingdon,Tube,Uxbridge tube station
West Ruislip,Hillingdon,Hillingdon,Tube,West Ruislip station
Boston Manor,Hounslow,Hounslow,Tube,Boston Manor tube station
Emlyn Road,Hounslow,Hounslow,Tube,Emlyn Road tube station
Gunnersbury,Hounslow,Hounslow,Tube,Gunnersbury station
Heathfield Terrace,Hounslow,Hounslow,Tube,Heathfield Terrace tube station
Hounslow Central,Hounslow,Hounslow,Tube,Hounslow Central tube station
Hounslow East,Hounslow,Hounslow,Tube,Hounslow East tube station
Hounslow Town,Hounslow,Hounslow,Tube,Hounslow Town tube station
Hounslow West,Hounslow,Hounslow,Tube,Hounslow West tube station
Osterley,Hounslow,Hounslow,Tube,Osterley tube station
Stamford Brook,Hounslow,Hounslow,Tube,Stamford Brook tube station
Turnham Green,Hounslow,Hounslow,Tube,Turnham Green tube station
Angel,Islington,Islington,Tube,Angel tube station
Archway,Islington,Islington,Tube,Archway tube station
Arsenal,Islington,Islington,Tube,Arsenal tube station
Caledonian Road,Islington,Islington,Tube,Caledonian Road tube station
City Road,Islington,Islington,Tube,City Road tube station
Farringdon,Islington,Islington,Tube,Farringdon station
Finsbury Park,Islington,Islington,Tube,Finsbury Park station
Highbury & Islington,Islington,Islington,Tube,Highbury & Islington station
Holloway Road,Islington,Islington,Tube,Holloway Road tube station
Old Street,Islington,Islington,Tube,Old Street station
Tufnell Park,Islington,Islington,Tube,Tufnell Park tube station
Earl's Court,Kensington & Chelsea,Kensington & Chelsea,Tube,Earl's Court tube station
Gloucester Road,Kensington & Chelsea,Kensington & Chelsea,Tube,Gloucester Road tube station
High Street Kensington,Kensington & Chelsea,Kensington & Chelsea,Tube,High Street Kensington tube station
Holland Park,Kensington & Chelsea,Kensington & Chelsea,Tube,Holland Park tube station
Kensington (Olympia),Kensington & Chelsea,Kensington & Chelsea,Tube,Kensington (Olympia) station
Knightsbridge,Kensington & Chelsea,Kensington & Chelsea,Tube,Knightsbridge tube station
Ladbroke Grove,Kensington & Chelsea,Kensington & Chelsea,Tube,Ladbroke Grove tube station
Latimer Road,Kensington & Chelsea,Kensington & Chelsea,Tube,Latimer Road tube station
Notting Hill Gate,Kensington & Chelsea,Kensington & Chelsea,Tube,Notting Hill Gate tube station
Sloane Square,Kensington & Chelsea,Kensington & Chelsea,Tube,Sloane Square tube station
South Kensington,Kensington & Chelsea,Kensington & Chelsea,Tube,South Kensington tube station
West Brompton,Kensington & Chelsea,Kensington & Chelsea,Tube,West Brompton station
Brixton,Lambeth,Lambeth,Tube,Brixton tube station
Clapham Common,Lambeth,Lambeth,Tube,Clapham Common tube station
Clapham North,Lambeth,Lambeth,Tube,Clapham North tube station
Lambeth North,Lambeth,Lambeth,Tube,Lambeth North tube station
Nine Elms,Lambeth,Lambeth,Tube,Nine Elms tube station
Oval,Lambeth,Lambeth,Tube,Oval tube station
Stockwell,Lambeth,Lambeth,Tube,Stockwell tube station
Vauxhall,Lambeth,Lambeth,Tube,Vauxhall station
